date,province_name,net_profit_all,net_profit_foreign,net_profit_thai,no_tourist_all,no_tourist_foreign,no_tourist_occupied,no_tourist_thai,region_eng_central,region_eng_east,region_eng_east_northeast,region_eng_north,region_eng_south
2022-08-01,Yasothon ,-1.2193986277829933,-0.840676879701572,-1.1824126095219056,-0.8355195388934784,-0.7223016640993173,-1.2886144073184964,-0.7928290508572694,0.0,0.0,1.0,0.0,0.0
2022-09-01,Amnat Charoen ,-1.6474002668583083,-0.6187926404635111,-1.6054830170267482,-1.434649157476416,-0.6681417757413801,-1.678475535545456,-1.4020247835278816,0.0,0.0,1.0,0.0,0.0
2022-09-01,Ang Thong ,-1.0716040369347732,-1.3578110040648836,-1.0344845061900485,-0.6616886576766215,-1.1599426209911907,-1.57658706787943,-0.6165002837636256,1.0,0.0,0.0,0.0,0.0
2022-09-01,Bueng Kan ,-0.6772102605438294,0.3827495337203514,-0.6723984212287414,-0.40015207190692315,0.7015948299199292,-0.3169615366988363,-0.38705883727721374,0.0,0.0,1.0,0.0,0.0
2022-09-01,Buriram ,1.1899266480100514,0.7462342809337443,1.2347360092579107,1.4283139162831846,0.8097604331853153,1.832230003876324,1.4275464356367147,0.0,0.0,1.0,0.0,0.0
2022-09-01,Chachoengsao ,0.916846792176899,-0.5703317028767442,0.9685487995610803,2.1226312740527264,-0.08402070895766978,-0.6934840069887919,2.1114098092145186,0.0,1.0,0.0,0.0,0.0
2022-09-01,Chainat ,-0.6056019216277634,-1.1704877529667763,-0.5730132530551258,-0.2514648507207598,-0.6647172225126451,-0.9786876644033826,-0.20844429114672333,1.0,0.0,0.0,0.0,0.0
2022-09-01,Chaiyaphum ,-0.5244106126114002,-0.14086177362877994,-0.4994320409710403,-0.18715872956810278,-0.10774039141512859,0.030359578455348014,-0.14852075500068831,0.0,0.0,1.0,0.0,0.0
2022-09-01,Chanthaburi ,0.7298205399400066,0.07892162958692593,0.7727124965959871,0.23053895934210775,0.16701793203999052,0.768169771139041,0.2628472647101009,0.0,1.0,0.0,0.0,0.0
2022-09-01,Chumphon ,0.3892241206413685,-0.32984964409960954,0.4274255817220236,0.1158220358821101,-0.35613220229662257,0.8226050340050239,0.15444675880423178,0.0,0.0,0.0,0.0,1.0
2022-09-01,Kalasin ,-0.947273929043752,0.1993918636829263,-0.9366297313524338,-0.5067535938428697,0.03419190429530157,-0.7766175273142711,-0.4705468731619744,0.0,0.0,1.0,0.0,0.0
2022-09-01,Kamphaeng Phet ,-0.514866529161256,0.47605647209602925,-0.5121342694135343,-0.43234889450709435,0.6981182026613256,-0.44919170352768234,-0.41969620815898145,0.0,0.0,0.0,1.0,0.0
2022-09-01,Krabi ,2.300778060378573,2.13796731030578,2.206484201359474,0.5256526182061623,2.0053544537016785,0.8822257787395537,0.33219320744355096,0.0,0.0,0.0,0.0,1.0
2022-09-01,Lampang ,0.7334566394202283,0.9779112424517169,0.7464503091397056,0.4749497367683563,0.825193325230477,0.11005162354145226,0.4873562582034376,0.0,0.0,0.0,1.0,0.0
